"","Overall"
"zip_code.328xx",0.00660849490999193
"zip_code.329xx",0
"zip_code.330xx",0.0220316784649864
"zip_code.331xx",0.0753249810358722
"zip_code.332xx",0
"zip_code.333xx",0.0107596640876473
"zip_code.334xx",0.00755635156073619
"zip_code.335xx",0.0367077014667093
"zip_code.336xx",0.0271224893849054
"zip_code.337xx",0.0511418230481199
"zip_code.338xx",0.00804183304586231
"zip_code.339xx",0.000847935218105311
"zip_code.340xx",0
"zip_code.341xx",0.00179273723923617
"zip_code.342xx",0.00476081309912202
"zip_code.343xx",0
"zip_code.344xx",0.00822166139437729
"zip_code.346xx",0
"zip_code.347xx",0.00140362425353271
"zip_code.348xx",0
"zip_code.349xx",0.00154541522226524
"zip_code.350xx",0.00205632382749017
"zip_code.351xx",0
"zip_code.352xx",0.00913884928621241
"zip_code.353xx",0
"zip_code.354xx",0
"zip_code.355xx",0
"zip_code.356xx",0.0106207835158324
"zip_code.357xx",0
"zip_code.358xx",0.00053745501243916
"zip_code.359xx",0
"zip_code.360xx",0
"zip_code.361xx",0.00574990055124161
"zip_code.362xx",0
"zip_code.363xx",0.026763155511289
"zip_code.364xx",0
"zip_code.365xx",0
"zip_code.366xx",0
"zip_code.367xx",0
"zip_code.368xx",0.0305609462532372
"zip_code.369xx",0
"zip_code.370xx",0.00231873470235663
"zip_code.371xx",0.0385304968183692
"zip_code.372xx",0
"zip_code.373xx",0
"zip_code.374xx",0.00496217113666997
"zip_code.375xx",0
"zip_code.376xx",0
"zip_code.377xx",0
"zip_code.378xx",0
"zip_code.379xx",0
"zip_code.380xx",0
"zip_code.381xx",0.0775526315011833
"zip_code.382xx",0
"zip_code.383xx",0
"zip_code.384xx",0
"zip_code.385xx",0
"zip_code.386xx",0
"zip_code.387xx",0
"zip_code.388xx",0
"zip_code.389xx",0
"zip_code.390xx",0
"zip_code.391xx",0
"zip_code.392xx",0.000530887547624569
"zip_code.393xx",0.00966299845085255
"zip_code.394xx",0.0115682563857306
"zip_code.395xx",0
"zip_code.396xx",0
"zip_code.397xx",0
"zip_code.398xx",0
"zip_code.399xx",0
"zip_code.400xx",0
"zip_code.401xx",0
"zip_code.402xx",0.00158533436332472
"zip_code.403xx",0
"zip_code.404xx",0
"zip_code.405xx",0.00316408834001293
"zip_code.406xx",0
"zip_code.407xx",0
"zip_code.408xx",0
"zip_code.409xx",0
"zip_code.410xx",0.000939248470349891
"zip_code.411xx",0
"zip_code.412xx",0
"zip_code.413xx",0
"zip_code.414xx",0
"zip_code.415xx",0
"zip_code.416xx",0
"zip_code.417xx",0
"zip_code.418xx",0.00108856507574667
"zip_code.420xx",0
"zip_code.421xx",0
"zip_code.422xx",0
"zip_code.423xx",0
"zip_code.424xx",0
"zip_code.425xx",0
"zip_code.426xx",0
"zip_code.427xx",0
"zip_code.429xx",0
"zip_code.430xx",0
"zip_code.431xx",0.022950750085613
"zip_code.432xx",0.000363990696255092
"zip_code.433xx",0
"zip_code.434xx",0
"zip_code.435xx",0.00103756438853834
"zip_code.436xx",0.00117638383438585
"zip_code.437xx",0
"zip_code.438xx",0
"zip_code.439xx",0
"zip_code.440xx",0
"zip_code.441xx",0.0215226393429272
"zip_code.442xx",0
"zip_code.443xx",0.000900876973231354
"zip_code.444xx",0
"zip_code.445xx",0.002716245820261
"zip_code.446xx",0.000363990696255092
"zip_code.447xx",0.00952555224094831
"zip_code.448xx",0.000526486542797544
"zip_code.449xx",0
"zip_code.450xx",0.0267944662455774
"zip_code.451xx",0.00142442489382323
"zip_code.452xx",0.00331805855375982
"zip_code.453xx",0
"zip_code.454xx",0
"zip_code.455xx",0
"zip_code.456xx",0
"zip_code.457xx",0
"zip_code.458xx",0.00248248696280439
"zip_code.460xx",0.00288472263991971
"zip_code.461xx",0.0577354802574781
"zip_code.462xx",0
"zip_code.463xx",0
"zip_code.464xx",0
"zip_code.465xx",0.00156835942753069
"zip_code.466xx",0.000521787338586721
"zip_code.467xx",0
"zip_code.468xx",0
"zip_code.469xx",0
"zip_code.470xx",0
"zip_code.471xx",0
"zip_code.472xx",0.000532251158918817
"zip_code.473xx",0.000976423572459155
"zip_code.474xx",0
"zip_code.475xx",0
"zip_code.476xx",0
"zip_code.477xx",0
"zip_code.478xx",0
"zip_code.479xx",0
"zip_code.480xx",0.00360422025776381
"zip_code.481xx",0.00513445016671994
"zip_code.482xx",0.0148619200731766
"zip_code.483xx",0.00136434747968467
"zip_code.484xx",0.00615003233676954
"zip_code.485xx",0.0810530895959162
"zip_code.486xx",0
"zip_code.487xx",0
"zip_code.488xx",0
"zip_code.489xx",0.00755976188015903
"zip_code.490xx",0.000244535896042895
"zip_code.491xx",0
"zip_code.492xx",0
"zip_code.493xx",0.00831137954630391
"zip_code.494xx",0.000523318861687811
"zip_code.495xx",0.000409489533286979
"zip_code.496xx",0
"zip_code.497xx",0
"zip_code.498xx",0.0136936097587114
"zip_code.499xx",0.00369857965381956
"zip_code.500xx",0
"zip_code.501xx",0
"zip_code.502xx",0
"zip_code.503xx",0
"zip_code.504xx",0
"zip_code.506xx",0
"zip_code.507xx",0
"zip_code.509xx",0
"zip_code.510xx",0
"zip_code.511xx",0
"zip_code.513xx",0
"zip_code.514xx",0
"zip_code.516xx",0
"zip_code.520xx",0
"zip_code.522xx",0
"zip_code.523xx",0
"zip_code.524xx",0
"zip_code.527xx",0
"zip_code.528xx",0
"zip_code.530xx",0
"zip_code.531xx",0
"zip_code.532xx",0
"zip_code.534xx",0
"zip_code.535xx",0.121125641272565
"zip_code.537xx",0
"zip_code.538xx",0
"zip_code.539xx",0
"zip_code.540xx",0
"zip_code.541xx",0
"zip_code.542xx",0
"zip_code.543xx",0
"zip_code.544xx",0.00200780008860582
"zip_code.545xx",0
"zip_code.546xx",0
"zip_code.547xx",0
"zip_code.548xx",0
"zip_code.549xx",0.00242851795690593
"zip_code.550xx",0.00741776534378482
"zip_code.551xx",0.003682204931878
"zip_code.553xx",0.0538721644624781
"zip_code.554xx",0.00287016049132735
"zip_code.555xx",0
"zip_code.556xx",0
"zip_code.557xx",0
"zip_code.558xx",0
"zip_code.559xx",0.0140684093417647
"zip_code.560xx",0.00984073315973894
"zip_code.561xx",0
"zip_code.562xx",0.00869735327744175
"zip_code.563xx",0
"zip_code.564xx",0.127931126475993
"zip_code.565xx",0
"zip_code.566xx",0
"zip_code.567xx",0
"zip_code.568xx",0
"zip_code.569xx",0
"zip_code.570xx",0
"zip_code.571xx",0
"zip_code.572xx",0
"zip_code.573xx",0
"zip_code.574xx",0
"zip_code.575xx",0
"zip_code.576xx",0
"zip_code.577xx",0.00343174231149967
"zip_code.580xx",0
"zip_code.581xx",0
"zip_code.582xx",0
"zip_code.583xx",0
"zip_code.584xx",0
"zip_code.585xx",0
"zip_code.586xx",0
"zip_code.587xx",0
"zip_code.588xx",0
"zip_code.590xx",0
"zip_code.591xx",0
"zip_code.592xx",0
"zip_code.593xx",0
"zip_code.594xx",0.0121582872283546
"zip_code.595xx",0
"zip_code.596xx",0
"zip_code.597xx",0
"zip_code.598xx",0
"zip_code.599xx",0
"zip_code.600xx",0.0503513275557146
"zip_code.601xx",0.0891895564877546
"zip_code.602xx",0
"zip_code.603xx",0
"zip_code.604xx",0.000363990696255092
"zip_code.605xx",0.00690554665557395
"zip_code.606xx",0.0129341349326899
"zip_code.607xx",0
"zip_code.608xx",0.00743546437867617
"zip_code.609xx",0
"zip_code.610xx",0.00105858659512691
"zip_code.611xx",0
"zip_code.612xx",0
"zip_code.613xx",0
"zip_code.614xx",0.00201581722714781
"zip_code.615xx",0
"zip_code.616xx",0.0668594495597382
"zip_code.617xx",0
"zip_code.618xx",0.0128050368129173
"zip_code.619xx",0
"zip_code.620xx",0.00210461870693544
"zip_code.621xx",0
"zip_code.622xx",0.0278824298826609
"zip_code.623xx",0
"zip_code.624xx",0
"zip_code.625xx",0.0442097581818569
"zip_code.626xx",0.000818979066573958
"zip_code.627xx",0
"zip_code.628xx",0
"zip_code.629xx",0
"zip_code.630xx",0
"zip_code.631xx",0.0416851288712029
"zip_code.633xx",0.0594654264370571
"zip_code.634xx",0
"zip_code.635xx",0
"zip_code.636xx",0
"zip_code.637xx",0
"zip_code.638xx",0
"zip_code.639xx",0
"zip_code.640xx",0.00496830768381782
"zip_code.641xx",0.00189903026852486
"zip_code.643xx",0
"zip_code.644xx",0
"zip_code.645xx",0
"zip_code.646xx",0
"zip_code.647xx",0
"zip_code.648xx",0.0449793262256434
"zip_code.649xx",0
"zip_code.650xx",0.0454583704423553
"zip_code.651xx",0
"zip_code.652xx",0
"zip_code.653xx",0
"zip_code.654xx",0
"zip_code.655xx",0
"zip_code.656xx",0
"zip_code.657xx",0.00139745834434375
"zip_code.658xx",0.00105495608575628
"zip_code.660xx",0
"zip_code.661xx",0.0178831591355103
"zip_code.662xx",0.0196361381230741
"zip_code.663xx",0
"zip_code.664xx",0
"zip_code.665xx",0
"zip_code.666xx",0
"zip_code.667xx",0.0059232822553531
"zip_code.668xx",0
"zip_code.669xx",0
"zip_code.670xx",0.00230117699182467
"zip_code.671xx",0
"zip_code.672xx",0
"zip_code.673xx",0
"zip_code.674xx",0
"zip_code.675xx",0
"zip_code.676xx",0
"zip_code.677xx",0
"zip_code.678xx",0
"zip_code.679xx",0
"zip_code.680xx",0
"zip_code.681xx",0
"zip_code.682xx",0
"zip_code.683xx",0
"zip_code.684xx",0
"zip_code.685xx",0
"zip_code.686xx",0
"zip_code.687xx",0
"zip_code.688xx",0
"zip_code.689xx",0
"zip_code.690xx",0
"zip_code.691xx",0
"zip_code.692xx",0
"zip_code.693xx",0
"zip_code.694xx",0
"zip_code.700xx",0
"zip_code.701xx",0.00143536514847304
"zip_code.702xx",0
"zip_code.703xx",0
"zip_code.704xx",0.000930658030197678
"zip_code.705xx",0
"zip_code.706xx",0
"zip_code.707xx",0
"zip_code.708xx",0.0353921715266683
"zip_code.709xx",0
"zip_code.710xx",0
"zip_code.711xx",0
"zip_code.712xx",0
"zip_code.713xx",0
"zip_code.714xx",0
"zip_code.716xx",0
"zip_code.717xx",0
"zip_code.718xx",0
"zip_code.719xx",0.0036792276967446
"zip_code.720xx",0.00261335333095332
"zip_code.721xx",0.0214081473721787
"zip_code.722xx",0
"zip_code.723xx",0
"zip_code.724xx",0.00215376661790277
"zip_code.725xx",0
"zip_code.726xx",0
"zip_code.727xx",0.00455999634678096
"zip_code.728xx",0
"zip_code.729xx",0
"zip_code.730xx",0.0446632751133399
"zip_code.731xx",0
"zip_code.734xx",0
"zip_code.735xx",0
"zip_code.736xx",0
"zip_code.737xx",0
"zip_code.738xx",0
"zip_code.739xx",0
"zip_code.740xx",0.00883327139945901
"zip_code.741xx",0
"zip_code.742xx",0
"zip_code.743xx",0
"zip_code.744xx",0.0181770115037887
"zip_code.745xx",0
"zip_code.746xx",0
"zip_code.747xx",0
"zip_code.748xx",0
"zip_code.749xx",0
"zip_code.750xx",0.000782984431055398
"zip_code.751xx",0.0114966552530161
"zip_code.752xx",0.00150387240428882
"zip_code.753xx",0
"zip_code.754xx",0
"zip_code.755xx",0
"zip_code.756xx",0
"zip_code.757xx",0
"zip_code.758xx",0
"zip_code.759xx",0
"zip_code.760xx",0.0320619840353282
"zip_code.761xx",0.00516086807350627
"zip_code.762xx",0.0173984412414629
"zip_code.763xx",0
"zip_code.764xx",0
"zip_code.765xx",0.00455150538155199
"zip_code.766xx",0
"zip_code.767xx",0
"zip_code.768xx",0
"zip_code.769xx",0
"zip_code.770xx",0.0528014463001003
"zip_code.771xx",0
"zip_code.772xx",0
"zip_code.773xx",0.00367452416857387
"zip_code.774xx",0.17872154922381
"zip_code.775xx",0.00539370473114691
"zip_code.776xx",0
"zip_code.777xx",0
"zip_code.778xx",0
"zip_code.779xx",0
"zip_code.780xx",0.000485320928340123
"zip_code.781xx",0
"zip_code.782xx",0.000529661613156653
"zip_code.783xx",0
"zip_code.784xx",0
"zip_code.785xx",0
"zip_code.786xx",0.00132184372450128
"zip_code.787xx",0.000722972346231444
"zip_code.788xx",0
"zip_code.789xx",0
"zip_code.790xx",0
"zip_code.791xx",0
"zip_code.792xx",0
"zip_code.793xx",0.000502126805081631
"zip_code.794xx",0
"zip_code.795xx",0
"zip_code.796xx",0
"zip_code.797xx",0
"zip_code.798xx",0
"zip_code.799xx",0
"zip_code.800xx",0.00606117749149495
"zip_code.801xx",0.0225720257600385
"zip_code.802xx",0.0108196775861555
"zip_code.803xx",0
"zip_code.804xx",0
"zip_code.805xx",0.00169630166730606
"zip_code.806xx",0
"zip_code.807xx",0
"zip_code.808xx",0
"zip_code.809xx",0.00650297184060757
"zip_code.810xx",0
"zip_code.811xx",0
"zip_code.812xx",0
"zip_code.813xx",0
"zip_code.814xx",0
"zip_code.815xx",0
"zip_code.816xx",0
"zip_code.817xx",0
"zip_code.819xx",0
"zip_code.820xx",0
"zip_code.821xx",0
"zip_code.822xx",0
"zip_code.823xx",0
"zip_code.824xx",0
"zip_code.825xx",0
"zip_code.826xx",0.000536572491893282
"zip_code.827xx",0
"zip_code.828xx",0
"zip_code.829xx",0.0751915241333216
"zip_code.830xx",0
"zip_code.831xx",0
"zip_code.832xx",0
"zip_code.833xx",0
"zip_code.834xx",0
"zip_code.835xx",0
"zip_code.836xx",0
"zip_code.837xx",0
"zip_code.838xx",0
"zip_code.840xx",0.00150952591012588
"zip_code.841xx",0.00300232677072813
"zip_code.843xx",0
"zip_code.844xx",0
"zip_code.845xx",0.00109197208876528
"zip_code.846xx",0.00590348730857207
"zip_code.847xx",0.000533710880472532
"zip_code.849xx",0
"zip_code.850xx",0.0130036234276652
"zip_code.851xx",0
"zip_code.852xx",0.0344095850363335
"zip_code.853xx",0.0447805147899724
"zip_code.854xx",0
"zip_code.855xx",0
"zip_code.856xx",0.00678281681486169
"zip_code.857xx",0
"zip_code.859xx",0
"zip_code.860xx",0
"zip_code.861xx",0
"zip_code.862xx",0
"zip_code.863xx",0.0322799194257203
"zip_code.864xx",0.00102882514406763
"zip_code.865xx",0
"zip_code.870xx",0
"zip_code.871xx",0.00194352038123904
"zip_code.873xx",0
"zip_code.874xx",0
"zip_code.875xx",0.000272993022191319
"zip_code.877xx",0
"zip_code.878xx",0
